modeloBombilla,tipoLampara,streetAddress,codigo,distrito,barrio,Longitude,Latitude
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE LAS ERAS 3,20040016,Hortaleza,4,445648.48120000000,4480670.67020000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE LAS ERAS 10,31024246,Hortaleza,4,445610.64160000000,4480740.99560000000
GLED001,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,PLAZA DE MAR DEL PLATA 12,11119324,Hortaleza,4,445680.7500000000,4480679.16380000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR AMARILLO 21,11119327,Hortaleza,4,445669.53530000000,4480644.66020000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR AMARILLO 19,11119326,Hortaleza,4,445651.16270000000,4480635.1820000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR AMARILLO 21,11119327,Hortaleza,4,445664.92230000000,4480631.22830000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR AMARILLO 12,11118983,Hortaleza,4,445641.82420000000,4480618.5200000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DEL JAPON 34,11119126,Hortaleza,4,445666.43110000000,4480618.32760000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 25,11119098,Hortaleza,4,445667.70050000000,4480623.84640000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 25,11119098,Hortaleza,4,445675.13550000000,4480620.65690000000
